state,Educ_Years,Tertiary Education,Educ_Secondary_Perc,Educ_Primary_Perc,Educ_Less_Primary_Perc,Female_Pop,Male_Pop,Total_Pop,Perc_Female
Alabama,11.846,22.089,84.0946,97.8299,2.17012,2461913,2323385,4785298,51.45
Arizona,11.9668,25.9881,87.3544,97.541,2.45905,3225572,3188165,6413737,50.29
Arkansas,11.8142,19.6064,84.6838,97.6769,2.32309,1490353,1431253,2921606,51.01
California,11.6157,30.1035,83.3282,95.0409,4.95911,18782439,18566924,37349363,50.29
Colorado,12.2316,36.5971,91.2912,98.4942,1.50576,2514593,2534478,5049071,49.8
Connecticut,12.136,35.4826,90.2514,98.1773,1.82269,1844880,1732193,3577073,51.58
Delaware,12.0808,27.4817,88.6804,98.2662,1.73383,464042,435727,899769,51.57
District of Columbia,12.1382,50.1098,88.6228,97.2742,2.7258,319306,285147,604453,52.83
Florida,11.9443,25.8634,87.834,97.4137,2.58633,9632568,9210758,18843326,51.12
Georgia,11.9059,27.2692,85.8436,97.4548,2.5452,4969897,4742690,9712587,51.17
Idaho,12.1081,24.4341,90.0181,98.3769,1.6231,782752,788698,1571450,49.81
Illinois,12.0368,30.8753,88.7232,98.0173,1.98273,6544230,6298936,12843166,50.95
Indiana,12.0349,22.8052,88.4954,98.6589,1.34114,3293027,3197594,6490621,50.74
Iowa,12.1507,25.1462,91.5859,98.8139,1.18613,1544201,1505682,3049883,50.63
Kansas,12.1274,30.0749,90.3052,98.537,1.46302,1445844,1413325,2859169,50.57
Kentucky,11.7999,20.7154,83.9434,97.9527,2.04729,2207080,2139186,4346266,50.78
Louisiana,11.8005,21.4324,83.8091,97.5698,2.43021,2317994,2226234,4544228,51.01
Maine,12.1765,26.8356,91.3572,98.9267,1.07334,679910,647657,1327567,51.21
Maryland,12.1145,36.0035,89.4455,98.0851,1.91489,2983757,2802225,5785982,51.57
Massachusetts,12.1206,39.0203,90.7095,97.4966,2.50345,3382855,3174399,6557254,51.59
Michigan,12.151,25.4914,90.6432,98.5824,1.41756,5030065,4847509,9877574,50.92
Minnesota,12.273,32.1383,92.9494,98.6776,1.32237,2672794,2637790,5310584,50.33
Mississippi,11.8209,19.6978,82.7565,97.7364,2.26356,1529348,1440688,2970036,51.49
Missouri,12.0698,25.3637,88.3726,98.7219,1.27812,3064200,2932031,5996231,51.1
Montana,12.3596,30.0254,93.3189,99.5002,0.499842,491000,499898,990898,49.55
Nebraska,12.2081,27.7211,92.0125,98.7066,1.29342,921958,908471,1830429,50.37
Nevada,11.9086,21.454,87.1022,97.5776,2.4224,1339050,1365592,2704642,49.51
New Hampshire,12.3019,33.3957,92.8105,99.1141,0.885912,668441,648318,1316759,50.76
New Jersey,12.0591,35.3323,89.7514,97.6763,2.32369,4519141,4282483,8801624,51.34
New Mexico,11.8127,24.6423,85.0081,96.7608,3.23923,1046841,1019091,2065932,50.67
New York,11.8836,32.5216,86.7043,96.7055,3.29451,10008101,9384182,19392283,51.61
North Carolina,11.9557,26.4416,86.1783,97.7972,2.20285,4905216,4656342,9561558,51.3
North Dakota,12.2482,28.9747,91.5202,99.066,0.933992,331184,343315,674499,49.1
Ohio,12.1112,24.5891,89.7134,98.8371,1.16291,5903619,5632563,11536182,51.17
Oklahoma,12.0186,22.5077,87.7375,98.4074,1.59262,1907000,1854702,3761702,50.7
Oregon,12.1561,28.9323,90.5734,98.2646,1.73536,1935332,1903625,3838957,50.41
Pennsylvania,12.0792,26.8906,89.9183,98.6134,1.38656,6528412,6181218,12709630,51.37
Rhode Island,11.8163,30.4612,85.5314,96.4096,3.59044,543765,509121,1052886,51.65
South Carolina,11.9167,24.6071,85.8179,97.7404,2.25962,2385140,2251172,4636312,51.44
South Dakota,12.2096,28.3932,91.4473,99.0018,0.998169,406414,410049,816463,49.78
Tennessee,11.884,22.9999,85.3038,98.058,1.94195,3264746,3092151,6356897,51.36
Texas,11.611,25.9468,82.2968,95.7041,4.29587,12732957,12524157,25257114,50.41
Utah,12.262,29.3107,92.3797,98.5869,1.41305,1379892,1396577,2776469,49.7
Vermont,12.2932,34.0213,93.0054,99.2471,0.752859,317714,308246,625960,50.76
Virginia,12.0512,34.3177,87.9327,97.9948,2.00521,4081919,3942698,8024617,50.87
Washington,12.1692,31.2897,91.2423,97.9488,2.05119,3385247,3359249,6744496,50.19
West Virginia,11.7972,17.2418,84.3659,98.3448,1.65517,941315,912658,1853973,50.77
Wisconsin,12.1935,26.3432,91.8633,98.9033,1.09667,2866563,2824484,5691047,50.37
Wyoming,12.3347,24.757,93.819,99.5406,0.459356,277752,286708,564460,49.21